feature,mean_importance
k,-0.019710867494344742
E,-0.012547543406486516
N,-0.006355890333652514
h,-0.004850129634141931
1,-0.0047154462039470605
V,-0.004545484989881521
p,-0.003935649596154711
D,-0.0029505205303430814
",",-0.002827229261398312
z,-0.002675305724144028
j,-0.0025967472493648724
<,-0.002577899873256717
P,-0.0023119045943022164
2,-0.001834188908338552
g,-0.00167994435131551
3,-0.0012441108524799515
(,-0.0010852581858635136
C,-0.0009095101207494905
L,-0.000886307895183558
9,-0.0006847873926162818
Y,-0.0005720153748989265
0,-0.0003528846800327612
"""",-0.0003095115721226005
H,-0.0002786041796207783
G,-0.0002774807512760713
6,-0.00025824800133706917
A,-0.00017032819986344537
c,-0.0001116794496774931
W,-1.4360398054158452e-05
{,0.0
[,0.0
],0.0
4,0.0
á,0.0
ê,0.0
´,0.0
*,0.0
Õ,0.0
ç,0.0
ð,0.0
+,0.0
 ,0.0
à,0.0
@,0.0
ó,0.0
,0.0
,0.0
,0.0
`,0.0
Q,0.0
í,0.0
},0.0
è,0.0
^,0.0
=,0.0
~,0.0
é,0.0
Z,0.0
%,0.0
#,0.0
X,0.0
$,0.0
À,0.0
7,0.0
:,0.0
>,0.0
5,0.0
Þ,0.0
),0.0
&,0.0
q,1.4629274606692278e-05
m,8.587477356192252e-05
F,0.00036476302146908334
8,0.0004659350812434626
J,0.0004699513167142788
r,0.0005093295127153397
w,0.0005272488147020305
M,0.0007367452681064091
',0.000964971132576431
/,0.0009988114312290853
 ,0.0011664144769310437
B,0.001309007689356778
d,0.001475959330797183
!,0.0018574504479765385
K,0.001957669839262932
u,0.0023224214762448845
I,0.0025541484355926514
t,0.0029241287410258997
U,0.003366163611412043
x,0.0034519460648297917
l,0.004018922165036165
O,0.004513065025210383
T,0.004648125290870641
;,0.00518494337797164
v,0.00519032685458658
s,0.005221740290522558
S,0.0057185919731855385
R,0.006449810013174973
a,0.006520490244030941
-,0.006800593644380526
.,0.010785333350300786
i,0.011343617528676964
y,0.013885795220732678
f,0.017970032438635798
n,0.02218965433537956
o,0.022454577855765788
b,0.024195517182350135
e,0.03562423375248909
?,0.06988710670173164
